2025-05-02 19:16:00.942 +02:00 [INF] Starting the search for vehicles.
2025-05-02 19:16:01.019 +02:00 [DBG] All local IPv4 adapters:
2025-05-02 19:16:01.019 +02:00 [DBG] 10.73.39.5
2025-05-02 19:16:01.019 +02:00 [DBG] 192.168.1.97
2025-05-02 19:16:01.019 +02:00 [DBG] 127.0.0.2
2025-05-02 19:16:01.029 +02:00 [INF] Binding to local endpoint : 127.0.0.2:13400.
2025-05-02 19:16:01.029 +02:00 [INF] Binding to local endpoint : 10.73.39.5:13400.
2025-05-02 19:16:01.029 +02:00 [INF] Binding to local endpoint : 192.168.1.97:13400.
2025-05-02 19:16:01.031 +02:00 [INF] Send vehicle identification request from 127.0.0.2:13400.
2025-05-02 19:16:01.031 +02:00 [INF] Send vehicle identification request from 10.73.39.5:13400.
2025-05-02 19:16:01.031 +02:00 [INF] Send vehicle identification request from 192.168.1.97:13400.
2025-05-02 19:16:01.032 +02:00 [INF] Send request from: 192.168.1.97:13400 to: 255.255.255.255:13400.
2025-05-02 19:16:01.032 +02:00 [INF] Send request from: 10.73.39.5:13400 to: 255.255.255.255:13400.
2025-05-02 19:16:01.032 +02:00 [INF] Send request from: 127.0.0.2:13400 to: 255.255.255.255:13400.
2025-05-02 19:16:01.034 +02:00 [DBG] Received message is too short.
2025-05-02 19:16:01.034 +02:00 [DBG] Received message is too short.
2025-05-02 19:16:02.200 +02:00 [INF] Stopping the search for vehicles.
2025-05-02 19:16:03.433 +02:00 [INF] [COM] DoIPBusConnection instanceId:1, threadId:17
2025-05-02 19:16:03.435 +02:00 [INF] Creating BusManager
2025-05-02 19:16:03.436 +02:00 [INF] Creating DoX
2025-05-02 19:16:03.466 +02:00 [INF] [COM] Open called. Assembly version:4.30.0.0, instanceId:1, threadId:17
2025-05-02 19:16:03.470 +02:00 [INF] [COM] DoOpen instanceId:1, threadId:17
2025-05-02 19:16:03.540 +02:00 [INF] [COM] Using Loopback adapter: Software Loopback Interface 1 with address: 127.0.0.2
2025-05-02 19:16:03.540 +02:00 [INF] [COM] Using Unknown adapter: _Common_iconnect.umbrella.profile - iaccess.global.volvocars.biz with address: 10.73.39.5
2025-05-02 19:16:03.540 +02:00 [INF] [COM] Using Wifi adapter: Intel(R) Wi-Fi 6 AX201 160MHz with address: 192.168.1.97
2025-05-02 19:16:03.542 +02:00 [INF] [COM] Send VehicleIdentificationRequest from: 127.0.0.2:62536 to: 127.0.0.1:13400
2025-05-02 19:16:03.646 +02:00 [INF] [COM] Send VehicleIdentificationRequest from: 127.0.0.2:62536 to: 255.255.255.255:13400
2025-05-02 19:16:03.647 +02:00 [INF] [COM] Send VehicleIdentificationRequest from: 192.168.1.97:62538 to: 255.255.255.255:13400
2025-05-02 19:16:03.647 +02:00 [INF] [COM] Send VehicleIdentificationRequest from: 10.73.39.5:62537 to: 255.255.255.255:13400
2025-05-02 19:16:03.850 +02:00 [INF] [COM] Received VehicleIdentificationResponse from: 127.0.0.1:13400 to: 127.0.0.2:13400
2025-05-02 19:16:03.853 +02:00 [INF] [COM] Set vehicle VIN: EcuSim           
2025-05-02 19:16:03.855 +02:00 [INF] [COM] Set vehicle EID: [50, 61, 72, 62, 6C, 60]
2025-05-02 19:16:03.855 +02:00 [INF] [COM] Reconnected to IP: 127.0.0.1
2025-05-02 19:16:03.855 +02:00 [INF] [COM] Further Action Code: 0x00
2025-05-02 19:16:03.856 +02:00 [INF] [COM] Gateway address: 0x1001
2025-05-02 19:16:03.859 +02:00 [INF] [COM] Connection type: P2P
2025-05-02 19:16:03.860 +02:00 [INF] [COM] Initializing socket for DoIpTcpStream
2025-05-02 19:16:03.861 +02:00 [INF] [COM] Tcp log: TCP_NODELAY
2025-05-02 19:16:03.861 +02:00 [INF] [COM] Tcp log: TCP_QUICKACK
2025-05-02 19:16:03.862 +02:00 [INF] [COM] Tcp log: Binding socket to specified NIC address 127.0.0.2
2025-05-02 19:16:03.862 +02:00 [INF] [COM] Connecting to remote endpoint: 127.0.0.1:13400
2025-05-02 19:16:03.863 +02:00 [INF] [COM] Creating NetworkStream for socket
2025-05-02 19:16:03.864 +02:00 [INF] [COM] Send RoutingActivationRequest
2025-05-02 19:16:03.866 +02:00 [DBG] [COM] DoIPRequest: 02FD00050000000B0E80000000000000000000
2025-05-02 19:16:03.870 +02:00 [INF] [COM] TCP read thread started
2025-05-02 19:16:03.870 +02:00 [INF] [COM] Successfully connected to vehicle EcuSim            on IP 127.0.0.1
2025-05-02 19:16:04.058 +02:00 [DBG] [COM] DoIPRequest: 02FD8001000000060E801FFF3E80
2025-05-02 19:16:04.059 +02:00 [DBG] [COM] DoIPResponse: 02FD8002000000051FFF0E8000
2025-05-02 19:16:04.180 +02:00 [DBG] [COM] DoIPRequest: 02FD8001000000070E801FFF22F186
2025-05-02 19:16:04.180 +02:00 [DBG] [COM] DoIPResponse: 02FD8002000000051FFF0E8000
2025-05-02 19:16:04.189 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000812050E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000812060E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000812120E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000812410E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000812640E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000814160E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000814170E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000814510E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000814710E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000814810E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000816120E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000816140E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000816290E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000816370E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000816920E8062F18601
2025-05-02 19:16:04.191 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000816A10E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000816C30E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000816D40E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD80010000000818410E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A110E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A120E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A130E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A140E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A150E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A1A0E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A210E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A430E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A530E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A600E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A610E8062F18601
2025-05-02 19:16:04.192 +02:00 [DBG] [COM] DoIPResponse: 02FD8001000000081A680E8062F18601
